values,ind
1787-4033,GOLD OA
1428-345X,GOLD OA
0865-2090,GOLD OA
1230-4786,GOLD OA
2055-3390,GOLD OA
1738-2122,GOLD OA
1643-5877,GOLD OA
2080-2145,GOLD OA
2411-4138,GOLD OA
0509-6669,GOLD OA
2081-1500,GOLD OA
2450-4637,GOLD OA
2314-808X,GOLD OA
0809-7259,GOLD OA
2391-8187,GOLD OA
2601-8659,GOLD OA
1851-6599,GOLD OA
1220-658X,GOLD OA
2392-7518,GOLD OA
2498-8707,GOLD OA
2601-8691,GOLD OA
2601-8799,GOLD OA
1429-7264,GOLD OA
2590-2776,GOLD OA
2601-8675,GOLD OA
1016-4855,GOLD OA
1755-1315,GOLD OA
1216-3384,GOLD OA
0044-1600,GOLD OA
2577-5421,GOLD OA
2631-1348,GOLD OA
2296-9179,GOLD OA
2067-225X,GOLD OA
2601-8616,GOLD OA
1644-0633,GOLD OA
2411-1449,GOLD OA
2502-0226,GOLD OA
2601-5773,GOLD OA
0974-150X,GOLD OA
1757-8981,GOLD OA
2192-8304,GOLD OA
1029-807X,GOLD OA
2601-8632,GOLD OA
2219-3820,GOLD OA
2732-2688,GOLD OA
2411-4103,GOLD OA
2668-6309,GOLD OA
1874-2203,GOLD OA
1539-6754,GOLD OA
2612-2138,GOLD OA
2309-8287,GOLD OA
1077-291X,GOLD OA
1507-3866,GOLD OA
2391-8160,GOLD OA
2299-8535,GOLD OA
2047-4954,GOLD OA
0860-4037,GOLD OA
1640-9019,GOLD OA
1742-6588,GOLD OA
2043-6386,GOLD OA
2450-0402,GOLD OA
2691-3623,GOLD OA
2652-6743,GOLD OA
2720-0620,GOLD OA
2734-4754,GOLD OA
2616-7697,GOLD OA
2786-4626,GOLD OA
2571-662X,GOLD OA
1294-8322,GOLD OA
2055-7159,GOLD OA
1340-2838,GOLD OA
1674-5507,GOLD OA
1461-1457,GOLD OA
1749-5016,GOLD OA
2058-5985,GOLD OA
2057-1577,GOLD OA
2047-217X,GOLD OA
2057-2107,GOLD OA
2058-5543,GOLD OA
2399-5300,GOLD OA
2056-3426,GOLD OA
1758-0463,GOLD OA
2050-6201,GOLD OA
2050-3911,GOLD OA
2574-2531,GOLD OA
2048-8505,GOLD OA
1569-9285,GOLD OA
0305-1048,GOLD OA
1759-4685,GOLD OA
0449-3060,GOLD OA
1748-1317,GOLD OA
2041-2851,GOLD OA
1759-6653,GOLD OA
2288-4300,GOLD OA
2053-9711,GOLD OA
2053-714X,GOLD OA
2514-1775,GOLD OA
2399-1399,GOLD OA
1946-5319,GOLD OA
2057-2093,GOLD OA
2396-8923,GOLD OA
2515-5091,GOLD OA
2155-9848,GOLD OA
2053-8855,GOLD OA
2399-3529,GOLD OA
2054-8397,GOLD OA
2051-1434,GOLD OA
2155-7470,GOLD OA
2514-2119,GOLD OA
2328-8957,GOLD OA
2516-1571,GOLD OA
2633-0873,GOLD OA
2632-7899,GOLD OA
2635-0041,GOLD OA
2631-4428,GOLD OA
2634-3916,GOLD OA
2515-2084,GOLD OA
2516-4236,GOLD OA
2633-9048,GOLD OA
2631-9268,GOLD OA
1536-2442,GOLD OA
