cr_year,issn_l,oa_all,n,prop
2018,0001-1541,17,342,0.049707602339181284
2018,0001-2092,1,298,0.003355704697986577
2018,0001-2998,2,54,0.037037037037037035
2018,0001-3072,1,16,0.0625
2018,0001-4575,14,329,0.0425531914893617
2018,0001-4788,4,36,0.1111111111111111
2018,0001-5172,12,243,0.04938271604938271
2018,0001-5342,2,26,0.07692307692307693
2018,0001-5385,1,82,0.012195121951219513
2018,0001-5458,1,96,0.010416666666666666
2018,0001-5547,3,71,0.04225352112676056
2018,0001-5903,1,20,0.05
2018,0001-5970,12,252,0.047619047619047616
2018,0001-6268,33,332,0.09939759036144578
2018,0001-6314,6,147,0.04081632653061224
2018,0001-6322,64,149,0.42953020134228187
2018,0001-6349,13,224,0.05803571428571429
2018,0001-6357,1,78,0.01282051282051282
2018,0001-6489,3,128,0.0234375
2018,0001-6810,4,51,0.0784313725490196
2018,0001-690X,15,128,0.1171875
2018,0001-6993,1,43,0.023255813953488372
2018,0001-706X,18,343,0.052478134110787174
2018,0001-7701,10,156,0.0641025641025641
2018,0001-8244,13,55,0.23636363636363636
2018,0001-8686,6,86,0.06976744186046512
2018,0001-8708,8,386,0.02072538860103627
2018,0001-8791,4,104,0.038461538461538464
2018,0001-9054,32,97,0.32989690721649484
2018,0001-9720,3,97,0.030927835051546393
2018,0001-9909,1,70,0.014285714285714285
2018,0002-0184,4,52,0.07692307692307693
2018,0002-0443,2,126,0.015873015873015872
2018,0002-0729,29,695,0.041726618705035974
2018,0002-1962,80,280,0.2857142857142857
2018,0002-5240,7,93,0.07526881720430108
2018,0002-7294,2,185,0.010810810810810811
2018,0002-7316,1,94,0.010638297872340425
2018,0002-7642,1,156,0.00641025641025641
2018,0002-7820,10,730,0.0136986301369863
2018,0002-8487,5,110,0.045454545454545456
2018,0002-8614,17,478,0.03556485355648536
2018,0002-8703,23,283,0.0812720848056537
2018,0002-9092,10,113,0.08849557522123894
2018,0002-9122,27,196,0.1377551020408163
2018,0002-9149,33,933,0.03536977491961415
