cr_year,issn_l,name,value
2018,0001-1541,prop_no_ta,0.049707602339181284
2018,0001-2092,prop_no_ta,0.003355704697986577
2018,0001-2998,prop_no_ta,0.037037037037037035
2018,0001-3072,prop_no_ta,0.0625
2018,0001-4575,prop_no_ta,0.0425531914893617
2018,0001-4788,prop_no_ta,0.1111111111111111
2018,0001-5172,prop_no_ta,0.04938271604938271
2018,0001-5342,prop_no_ta,0.07692307692307693
2018,0001-5385,prop_no_ta,0.012195121951219513
2018,0001-5458,prop_no_ta,0.010416666666666666
2018,0001-5547,prop_no_ta,0.04225352112676056
2018,0001-5903,prop_no_ta,0.05
2018,0001-5970,prop_no_ta,0.047619047619047616
2018,0001-6268,prop_ta_oa,0.02710843373493976
2018,0001-6268,prop_no_ta,0.07228915662650602
2018,0001-6314,prop_no_ta,0.04081632653061224
2018,0001-6322,prop_ta_oa,0.026845637583892617
2018,0001-6322,prop_no_ta,0.40268456375838924
2018,0001-6349,prop_no_ta,0.05803571428571429
2018,0001-6357,prop_no_ta,0.01282051282051282
2018,0001-6489,prop_ta_oa,0.015625
2018,0001-6489,prop_no_ta,0.0078125
2018,0001-6810,prop_no_ta,0.0784313725490196
2018,0001-690X,prop_no_ta,0.1171875
2018,0001-6993,prop_no_ta,0.023255813953488372
2018,0001-706X,prop_no_ta,0.052478134110787174
2018,0001-7701,prop_no_ta,0.0641025641025641
2018,0001-8244,prop_ta_oa,0.09090909090909091
2018,0001-8244,prop_no_ta,0.14545454545454545
2018,0001-8686,prop_no_ta,0.06976744186046512
2018,0001-8708,prop_no_ta,0.02072538860103627
2018,0001-8791,prop_no_ta,0.038461538461538464
2018,0001-9054,prop_no_ta,0.32989690721649484
2018,0001-9720,prop_no_ta,0.030927835051546393
2018,0001-9909,prop_no_ta,0.014285714285714285
2018,0002-0184,prop_ta_oa,0.019230769230769232
2018,0002-0184,prop_no_ta,0.057692307692307696
2018,0002-0443,prop_no_ta,0.015873015873015872
2018,0002-0729,prop_no_ta,0.041726618705035974
2018,0002-1962,prop_no_ta,0.2857142857142857
2018,0002-5240,prop_no_ta,0.07526881720430108
2018,0002-7294,prop_no_ta,0.010810810810810811
2018,0002-7316,prop_no_ta,0.010638297872340425
2018,0002-7642,prop_no_ta,0.00641025641025641
2018,0002-7820,prop_no_ta,0.0136986301369863
2018,0002-8487,prop_no_ta,0.045454545454545456
2018,0002-8614,prop_no_ta,0.03556485355648536
2018,0002-8703,prop_no_ta,0.0812720848056537
2018,0002-9092,prop_no_ta,0.08849557522123894
2018,0002-9122,prop_no_ta,0.1377551020408163
2018,0002-9149,prop_no_ta,0.03536977491961415
2018,0002-9157,prop_no_ta,0.025
2018,0002-9165,prop_no_ta,0.11884057971014493
2018,0002-9173,prop_no_ta,0.05714285714285714
2018,0002-919X,prop_no_ta,0.020833333333333332
2018,0002-9262,prop_no_ta,0.11724137931034483
2018,0002-9297,prop_no_ta,0.12735849056603774
2018,0002-9343,prop_no_ta,0.007042253521126761
2018,0002-9378,prop_no_ta,0.01509433962264151
2018,0002-9394,prop_no_ta,0.048426150121065374
2018,0002-9440,prop_no_ta,0.0695970695970696
2018,0002-9483,prop_no_ta,0.04201680672268908
2018,0002-9610,prop_no_ta,0.010080645161290322
2018,0002-9629,prop_no_ta,0.027649769585253458
2018,0002-9890,prop_no_ta,0.008130081300813009
2018,0003-0007,prop_no_ta,0.01282051282051282
2018,0003-004X,prop_no_ta,0.04054054054054054
2018,0003-021X,prop_no_ta,0.006493506493506494
2018,0003-0554,prop_no_ta,0.053763440860215055
2018,0003-1232,prop_no_ta,0.058823529411764705
2018,0003-1305,prop_no_ta,0.017699115044247787
2018,0003-150X,prop_no_ta,0.019801980198019802
2018,0003-2409,prop_no_ta,0.05228758169934641
2018,0003-2417,prop_no_ta,0.02564102564102564
2018,0003-2654,prop_ta_oa,0.003942181340341655
2018,0003-2654,prop_no_ta,0.05387647831800263
2018,0003-2670,prop_no_ta,0.028117359413202935
2018,0003-2697,prop_no_ta,0.049079754601226995
2018,0003-2700,prop_no_ta,4.854368932038835e-4
