cr_year,top_level,articles_frac,type,value,prop
2018,Health Sciences,346723.83333333326,ta_oa_frac,889.4166666666666,0.002565201988325964
2018,Health Sciences,346723.83333333326,no_ta_fractions,17389.916666666664,0.05015495040961996
2019,Health Sciences,377285.9166666667,ta_oa_frac,4078.666666666667,0.010810545759835987
2019,Health Sciences,377285.9166666667,no_ta_fractions,19859,0.052636473090368466
2020,Health Sciences,437067.4166666666,ta_oa_frac,15204.250000000002,0.034786967456774884
2020,Health Sciences,437067.4166666666,no_ta_fractions,25341.499999999993,0.05798075773588703
2021,Health Sciences,433010.00000000006,ta_oa_frac,26874.416666666664,0.062064194052485304
2021,Health Sciences,433010.00000000006,no_ta_fractions,26539.08333333333,0.061289770059197994
2022,Health Sciences,403957.41666666657,ta_oa_frac,34866.500000000015,0.08631231551015386
2022,Health Sciences,403957.41666666657,no_ta_fractions,28222,0.0698637995877866
2018,Life Sciences,196192.5,ta_oa_frac,368.4166666666667,0.001877832570901878
2018,Life Sciences,196192.5,no_ta_fractions,14634.083333333338,0.07459043201617462
2019,Life Sciences,206471.41666666657,ta_oa_frac,2707.8333333333335,0.013114809677045699
2019,Life Sciences,206471.41666666657,no_ta_fractions,15655.666666666666,0.07582486195627566
2020,Life Sciences,227639.5833333334,ta_oa_frac,9218.750000000002,0.04049713088123587
2020,Life Sciences,227639.5833333334,no_ta_fractions,16822.33333333334,0.07389898139419954
2021,Life Sciences,233528.83333333326,ta_oa_frac,15625.08333333334,0.06690858302293869
2021,Life Sciences,233528.83333333326,no_ta_fractions,18999.083333333343,0.08135647775114144
2022,Life Sciences,216514.08333333334,ta_oa_frac,20650.166666666657,0.09537562799032699
2022,Life Sciences,216514.08333333334,no_ta_fractions,18844.166666666664,0.08703436920385085
2018,Physical Sciences,497927.6666666668,ta_oa_frac,786.9166666666667,0.0015803834961302945
2018,Physical Sciences,497927.6666666668,no_ta_fractions,21576.916666666657,0.04333343598099587
2019,Physical Sciences,556885.7500000002,ta_oa_frac,6109.833333333332,0.01097143055525003
2019,Physical Sciences,556885.7500000002,no_ta_fractions,22100.833333333336,0.03968647668455033
2020,Physical Sciences,638000.7499999999,ta_oa_frac,19438.583333333336,0.030467963138496843
2020,Physical Sciences,638000.7499999999,no_ta_fractions,25224.166666666675,0.03953626491295924
2021,Physical Sciences,695874.8333333334,ta_oa_frac,35321.083333333314,0.050757811091027116
2021,Physical Sciences,695874.8333333334,no_ta_fractions,31527.91666666667,0.04530687870352164
2022,Physical Sciences,723021.5833333331,ta_oa_frac,49276.66666666667,0.06815379762176305
2022,Physical Sciences,723021.5833333331,no_ta_fractions,36151.83333333332,0.05000104307628437
2018,Social Sciences,130497.49999999997,ta_oa_frac,777.75,0.005959884288971054
2018,Social Sciences,130497.49999999997,no_ta_fractions,7583.58333333333,0.058112862953951856
2019,Social Sciences,163626.4166666667,ta_oa_frac,3203.6666666666674,0.019579153121668927
2019,Social Sciences,163626.4166666667,no_ta_fractions,9729.500000000002,0.05946167005429544
2020,Social Sciences,205192.75,ta_oa_frac,12459.916666666664,0.06072298688265869
2020,Social Sciences,205192.75,no_ta_fractions,12354.000000000004,0.06020680555234044
2021,Social Sciences,228934.83333333326,ta_oa_frac,26295.916666666657,0.11486201677478816
2021,Social Sciences,228934.83333333326,no_ta_fractions,14045.916666666666,0.0613533399970443
2022,Social Sciences,224832.41666666672,ta_oa_frac,34759.16666666668,0.15460033380417787
2022,Social Sciences,224832.41666666672,no_ta_fractions,17178.500000000007,0.07640579705847579
