cr_year,top_level,oa_n,oa_frac,ta_oa,ta_oa_frac,no_ta,no_ta_fractions,articles_n,articles_frac,prop
2018,Health Sciences,24852,18279.333333333325,1159,889.4166666666666,23693,17389.916666666664,446799,346723.83333333326,0.04865695320762976
2019,Health Sciences,32080,23937.666666666664,5449,4078.666666666667,26631,19859,485721,377285.9166666667,0.17038697728823476
2020,Health Sciences,53261,40545.74999999996,19888,15204.250000000002,33373,25341.499999999993,556973,437067.4166666666,0.3749899804541787
2021,Health Sciences,70475,53413.500000000015,35331,26874.416666666664,35144,26539.08333333333,556656,433010.00000000006,0.5031390316430613
2022,Health Sciences,83657,63088.50000000002,45939,34866.500000000015,37718,28222,520039,403957.41666666657,0.5526601520086862
2018,Life Sciences,22326,15002.500000000005,625,368.4166666666667,21701,14634.083333333338,307190,196192.5,0.02455701827473198
2019,Life Sciences,27393,18363.500000000004,4228,2707.8333333333335,23165,15655.666666666666,327292,206471.41666666657,0.14745736560750036
2020,Life Sciences,39571,26041.083333333354,14289,9218.750000000002,25282,16822.33333333334,360370,227639.5833333334,0.3540079297776268
2021,Life Sciences,52943,34624.16666666666,24376,15625.08333333334,28567,18999.083333333343,370357,233528.83333333326,0.4512768056992951
2022,Life Sciences,61074,39494.33333333333,32158,20650.166666666657,28916,18844.166666666664,343025,216514.08333333334,0.5228640395668576
2018,Physical Sciences,26502,22363.83333333333,964,786.9166666666667,25538,21576.916666666657,575174,497927.6666666668,0.03518702071052221
2019,Physical Sciences,33593,28210.666666666668,7177,6109.833333333332,26416,22100.833333333336,644789,556885.7500000002,0.2165788354286794
2020,Physical Sciences,53279,44662.74999999997,23219,19438.583333333336,30060,25224.166666666675,738203,638000.7499999999,0.43523032803249573
2021,Physical Sciences,80309,66849.00000000003,42538,35321.083333333314,37771,31527.91666666667,805298,695874.8333333334,0.5283711548913715
2022,Physical Sciences,102077,85428.50000000003,59293,49276.66666666667,42784,36151.83333333332,830937,723021.5833333331,0.5768176506279129
2018,Social Sciences,11275,8361.33333333333,946,777.75,10329,7583.58333333333,171615,130497.49999999997,0.09301746132993147
2019,Social Sciences,16765,12933.166666666672,4009,3203.6666666666674,12756,9729.500000000002,211757,163626.4166666667,0.24770937769816617
2020,Social Sciences,31284,24813.91666666668,15420,12459.916666666664,15864,12354.000000000004,260225,205192.75,0.5021342190370319
2021,Social Sciences,50566,40341.833333333336,32356,26295.916666666657,18210,14045.916666666666,288864,228934.83333333326,0.6518275074261206
2022,Social Sciences,64487,51937.66666666668,42993,34759.16666666668,21494,17178.500000000007,282608,224832.41666666672,0.66924775211311
