cr_year,issn_l,jn_all,oa,top_level,type,value
2022,0022-2488,456,1,Physical Sciences,ta_oa,1
2018,0034-6748,1277,1,Physical Sciences,no_ta,1
2022,1055-5269,37,1,Physical Sciences,ta_oa,1
2020,0001-5210,22,12,Social Sciences,no_ta,12
2021,0001-5210,23,8,Social Sciences,ta_oa,3
2021,0001-5210,23,8,Social Sciences,no_ta,5
2022,0001-5210,15,6,Social Sciences,ta_oa,5
2022,0001-5210,15,6,Social Sciences,no_ta,1
2019,0001-6373,40,6,Social Sciences,no_ta,6
2020,0001-6373,30,8,Social Sciences,no_ta,8
2021,0001-6373,32,11,Social Sciences,ta_oa,5
2021,0001-6373,32,11,Social Sciences,no_ta,6
2022,0001-6373,28,10,Social Sciences,ta_oa,10
2020,0001-6446,39,8,Social Sciences,no_ta,8
2021,0001-6446,34,9,Social Sciences,ta_oa,4
2021,0001-6446,34,9,Social Sciences,no_ta,5
2022,0001-6446,39,5,Social Sciences,ta_oa,2
2022,0001-6446,39,5,Social Sciences,no_ta,3
2019,0002-1873,25,21,Life Sciences,no_ta,21
2020,0002-1873,15,6,Life Sciences,no_ta,6
2021,0002-1873,22,7,Life Sciences,ta_oa,5
2021,0002-1873,22,7,Life Sciences,no_ta,2
2022,0002-1873,22,16,Life Sciences,ta_oa,15
2022,0002-1873,22,16,Life Sciences,no_ta,1
2019,0003-567X,20,12,Social Sciences,no_ta,12
2020,0003-567X,22,16,Social Sciences,no_ta,16
2021,0003-567X,25,15,Social Sciences,ta_oa,9
2021,0003-567X,25,15,Social Sciences,no_ta,6
2022,0003-567X,22,16,Social Sciences,ta_oa,5
2022,0003-567X,22,16,Social Sciences,no_ta,11
2019,0003-8032,12,7,Social Sciences,no_ta,7
2020,0003-8032,18,6,Social Sciences,no_ta,6
2021,0003-8032,21,9,Social Sciences,ta_oa,7
2021,0003-8032,21,9,Social Sciences,no_ta,2
2019,0025-0295,31,3,Health Sciences,no_ta,3
2020,0025-0295,37,17,Health Sciences,no_ta,17
2021,0025-0295,26,13,Health Sciences,ta_oa,8
2021,0025-0295,26,13,Health Sciences,no_ta,5
2022,0025-0295,47,12,Health Sciences,ta_oa,11
2022,0025-0295,47,12,Health Sciences,no_ta,1
2019,0030-6002,303,3,Health Sciences,no_ta,3
2020,0030-6002,309,234,Health Sciences,no_ta,234
2021,0030-6002,283,217,Health Sciences,ta_oa,171
2021,0030-6002,283,217,Health Sciences,no_ta,46
2022,0030-6002,283,233,Health Sciences,ta_oa,190
2022,0030-6002,283,233,Health Sciences,no_ta,43
2020,0044-5975,56,13,Social Sciences,no_ta,13
2021,0044-5975,33,2,Social Sciences,ta_oa,2
2022,0044-5975,23,10,Social Sciences,ta_oa,9
2022,0044-5975,23,10,Social Sciences,no_ta,1
2020,0139-3006,60,24,Life Sciences,no_ta,24
2021,0139-3006,60,27,Life Sciences,ta_oa,19
2021,0139-3006,60,27,Life Sciences,no_ta,8
2022,0139-3006,61,23,Life Sciences,ta_oa,17
2022,0139-3006,61,23,Life Sciences,no_ta,6
2018,0236-6290,54,13,Health Sciences,no_ta,13
2019,0236-6290,60,18,Health Sciences,no_ta,18
2020,0236-6290,50,17,Health Sciences,no_ta,17
2021,0236-6290,68,23,Health Sciences,ta_oa,16
2021,0236-6290,68,23,Health Sciences,no_ta,7
2022,0236-6290,38,10,Health Sciences,ta_oa,9
2022,0236-6290,38,10,Health Sciences,no_ta,1
2019,0238-1249,25,2,Life Sciences,no_ta,2
2020,0238-1249,13,6,Life Sciences,no_ta,6
2021,0238-1249,28,12,Life Sciences,ta_oa,9
2021,0238-1249,28,12,Life Sciences,no_ta,3
2022,0238-1249,13,9,Life Sciences,ta_oa,5
2022,0238-1249,13,9,Life Sciences,no_ta,4
2019,1216-9803,30,6,Social Sciences,no_ta,6
2020,1216-9803,22,12,Social Sciences,no_ta,12
2021,1216-9803,4,1,Social Sciences,ta_oa,1
2022,1216-9803,20,12,Social Sciences,ta_oa,11
2022,1216-9803,20,12,Social Sciences,no_ta,1
2018,1217-8950,52,2,Life Sciences,no_ta,2
2018,1217-8950,52,2,Health Sciences,no_ta,2
2019,1217-8950,38,3,Life Sciences,no_ta,3
2019,1217-8950,38,3,Health Sciences,no_ta,3
2020,1217-8950,29,10,Life Sciences,no_ta,10
2020,1217-8950,29,10,Health Sciences,no_ta,10
2021,1217-8950,44,7,Life Sciences,ta_oa,4
2021,1217-8950,44,7,Life Sciences,no_ta,3
2021,1217-8950,44,7,Health Sciences,ta_oa,4
2021,1217-8950,44,7,Health Sciences,no_ta,3
2022,1217-8950,41,5,Life Sciences,ta_oa,3
2022,1217-8950,41,5,Life Sciences,no_ta,2
2022,1217-8950,41,5,Health Sciences,ta_oa,3
2022,1217-8950,41,5,Health Sciences,no_ta,2
2018,1419-8126,22,1,Health Sciences,no_ta,1
2018,1419-8126,22,1,Social Sciences,no_ta,1
2019,1419-8126,22,8,Health Sciences,no_ta,8
2019,1419-8126,22,8,Social Sciences,no_ta,8
2020,1419-8126,16,10,Health Sciences,no_ta,10
2020,1419-8126,16,10,Social Sciences,no_ta,10
2021,1419-8126,20,16,Health Sciences,ta_oa,14
2021,1419-8126,20,16,Health Sciences,no_ta,2
2021,1419-8126,20,16,Social Sciences,ta_oa,14
2021,1419-8126,20,16,Social Sciences,no_ta,2
2022,1419-8126,17,16,Health Sciences,ta_oa,14
2022,1419-8126,17,16,Health Sciences,no_ta,2
2022,1419-8126,17,16,Social Sciences,ta_oa,14
2022,1419-8126,17,16,Social Sciences,no_ta,2
2020,1585-1923,19,2,Social Sciences,no_ta,2
2021,1585-1923,20,1,Social Sciences,no_ta,1
2022,1585-1923,20,1,Social Sciences,ta_oa,1
2020,1788-1994,67,41,Physical Sciences,no_ta,41
2021,1788-1994,91,50,Physical Sciences,ta_oa,46
2021,1788-1994,91,50,Physical Sciences,no_ta,4
2022,1788-1994,99,57,Physical Sciences,ta_oa,57
2019,2498-5473,13,3,Social Sciences,no_ta,3
2021,2498-5473,27,18,Social Sciences,ta_oa,17
2021,2498-5473,27,18,Social Sciences,no_ta,1
2022,2498-5473,36,22,Social Sciences,ta_oa,21
2022,2498-5473,36,22,Social Sciences,no_ta,1
2018,2498-602X,33,1,Health Sciences,no_ta,1
2019,2498-602X,36,7,Health Sciences,no_ta,7
2020,2498-602X,36,14,Health Sciences,no_ta,14
2021,2498-602X,39,12,Health Sciences,ta_oa,11
2021,2498-602X,39,12,Health Sciences,no_ta,1
2022,2498-602X,38,16,Health Sciences,ta_oa,14
2022,2498-602X,38,16,Health Sciences,no_ta,2
2020,2559-8201,22,5,Social Sciences,no_ta,5
2021,2559-8201,26,7,Social Sciences,ta_oa,5
2021,2559-8201,26,7,Social Sciences,no_ta,2
2022,2559-8201,31,15,Social Sciences,ta_oa,14
2022,2559-8201,31,15,Social Sciences,no_ta,1
2020,0001-4842,301,4,Health Sciences,ta_oa,1
2020,0001-4842,301,4,Health Sciences,no_ta,3
2020,0001-4842,301,4,Physical Sciences,ta_oa,1
2020,0001-4842,301,4,Physical Sciences,no_ta,3
2021,0001-4842,414,47,Health Sciences,ta_oa,13
2021,0001-4842,414,47,Health Sciences,no_ta,34
2021,0001-4842,414,47,Physical Sciences,ta_oa,13
2021,0001-4842,414,47,Physical Sciences,no_ta,34
2022,0001-4842,347,61,Health Sciences,ta_oa,33
2022,0001-4842,347,61,Health Sciences,no_ta,28
2022,0001-4842,347,61,Physical Sciences,ta_oa,33
2022,0001-4842,347,61,Physical Sciences,no_ta,28
2018,0003-2700,2060,1,Physical Sciences,no_ta,1
2019,0003-2700,2177,4,Physical Sciences,no_ta,4
2020,0003-2700,2023,17,Physical Sciences,ta_oa,8
2020,0003-2700,2023,17,Physical Sciences,no_ta,9
2021,0003-2700,2096,237,Physical Sciences,ta_oa,86
2021,0003-2700,2096,237,Physical Sciences,no_ta,151
2022,0003-2700,2249,283,Physical Sciences,ta_oa,158
2022,0003-2700,2249,283,Physical Sciences,no_ta,125
2020,0006-2960,538,2,Life Sciences,ta_oa,1
2020,0006-2960,538,2,Life Sciences,no_ta,1
2021,0006-2960,459,58,Life Sciences,ta_oa,18
2021,0006-2960,459,58,Life Sciences,no_ta,40
2022,0006-2960,374,83,Life Sciences,ta_oa,23
2022,0006-2960,374,83,Life Sciences,no_ta,60
2020,0009-2665,334,6,Physical Sciences,ta_oa,3
2020,0009-2665,334,6,Physical Sciences,no_ta,3
2021,0009-2665,362,85,Physical Sciences,ta_oa,36
2021,0009-2665,362,85,Physical Sciences,no_ta,49
2022,0009-2665,300,73,Physical Sciences,ta_oa,36
2022,0009-2665,300,73,Physical Sciences,no_ta,37
2018,0013-936X,1698,1,Physical Sciences,no_ta,1
2019,0013-936X,1620,2,Physical Sciences,no_ta,2
2020,0013-936X,1703,10,Physical Sciences,ta_oa,3
2020,0013-936X,1703,10,Physical Sciences,no_ta,7
2021,0013-936X,1741,277,Physical Sciences,ta_oa,60
2021,0013-936X,1741,277,Physical Sciences,no_ta,217
2022,0013-936X,1774,352,Physical Sciences,ta_oa,119
2022,0013-936X,1774,352,Physical Sciences,no_ta,233
2019,0020-1669,1864,1,Physical Sciences,no_ta,1
2020,0020-1669,1929,26,Physical Sciences,ta_oa,22
2020,0020-1669,1929,26,Physical Sciences,no_ta,4
2021,0020-1669,2082,176,Physical Sciences,ta_oa,122
2021,0020-1669,2082,176,Physical Sciences,no_ta,54
2022,0020-1669,2245,249,Physical Sciences,ta_oa,179
2022,0020-1669,2245,249,Physical Sciences,no_ta,70
2020,0021-8561,1559,19,Life Sciences,ta_oa,15
2020,0021-8561,1559,19,Life Sciences,no_ta,4
2020,0021-8561,1559,19,Physical Sciences,ta_oa,15
2020,0021-8561,1559,19,Physical Sciences,no_ta,4
2021,0021-8561,1547,85,Life Sciences,ta_oa,47
2021,0021-8561,1547,85,Life Sciences,no_ta,38
2021,0021-8561,1547,85,Physical Sciences,ta_oa,47
2021,0021-8561,1547,85,Physical Sciences,no_ta,38
2022,0021-8561,1595,121,Life Sciences,ta_oa,64
2022,0021-8561,1595,121,Life Sciences,no_ta,57
2022,0021-8561,1595,121,Physical Sciences,ta_oa,64
2022,0021-8561,1595,121,Physical Sciences,no_ta,57
2019,0021-9568,698,1,Physical Sciences,no_ta,1
2020,0021-9568,617,5,Physical Sciences,ta_oa,3
2020,0021-9568,617,5,Physical Sciences,no_ta,2
2021,0021-9568,415,21,Physical Sciences,ta_oa,12
2021,0021-9568,415,21,Physical Sciences,no_ta,9
2022,0021-9568,375,18,Physical Sciences,ta_oa,10
2022,0021-9568,375,18,Physical Sciences,no_ta,8
2019,0021-9584,511,1,Social Sciences,no_ta,1
2019,0021-9584,511,1,Physical Sciences,no_ta,1
2020,0021-9584,745,8,Social Sciences,ta_oa,5
2020,0021-9584,745,8,Social Sciences,no_ta,3
2020,0021-9584,745,8,Physical Sciences,ta_oa,5
2020,0021-9584,745,8,Physical Sciences,no_ta,3
2021,0021-9584,562,46,Social Sciences,ta_oa,17
2021,0021-9584,562,46,Social Sciences,no_ta,29
2021,0021-9584,562,46,Physical Sciences,ta_oa,17
2021,0021-9584,562,46,Physical Sciences,no_ta,29
2022,0021-9584,535,79,Social Sciences,ta_oa,43
2022,0021-9584,535,79,Social Sciences,no_ta,36
2022,0021-9584,535,79,Physical Sciences,ta_oa,43
2022,0021-9584,535,79,Physical Sciences,no_ta,36
2020,0022-2623,899,28,Life Sciences,ta_oa,24
2020,0022-2623,899,28,Life Sciences,no_ta,4
2021,0022-2623,1120,172,Life Sciences,ta_oa,62
2021,0022-2623,1120,172,Life Sciences,no_ta,110
2022,0022-2623,936,190,Life Sciences,ta_oa,86
2022,0022-2623,936,190,Life Sciences,no_ta,104
2020,0022-3263,1529,19,Physical Sciences,ta_oa,14
2020,0022-3263,1529,19,Physical Sciences,no_ta,5
2021,0022-3263,1663,132,Physical Sciences,ta_oa,87
2021,0022-3263,1663,132,Physical Sciences,no_ta,45
2022,0022-3263,1661,153,Physical Sciences,ta_oa,127
2022,0022-3263,1661,153,Physical Sciences,no_ta,26
2020,0024-9297,1143,18,Physical Sciences,ta_oa,10
2020,0024-9297,1143,18,Physical Sciences,no_ta,8
2021,0024-9297,1090,87,Physical Sciences,ta_oa,43
2021,0024-9297,1090,87,Physical Sciences,no_ta,44
2022,0024-9297,1077,127,Physical Sciences,ta_oa,85
2022,0024-9297,1077,127,Physical Sciences,no_ta,42
2020,0163-3864,480,9,Physical Sciences,ta_oa,7
2020,0163-3864,480,9,Physical Sciences,no_ta,2
2020,0163-3864,480,9,Health Sciences,ta_oa,7
2020,0163-3864,480,9,Health Sciences,no_ta,2
2020,0163-3864,480,9,Life Sciences,ta_oa,7
2020,0163-3864,480,9,Life Sciences,no_ta,2
2021,0163-3864,371,29,Physical Sciences,ta_oa,16
2021,0163-3864,371,29,Physical Sciences,no_ta,13
2021,0163-3864,371,29,Health Sciences,ta_oa,16
2021,0163-3864,371,29,Health Sciences,no_ta,13
2021,0163-3864,371,29,Life Sciences,ta_oa,16
2021,0163-3864,371,29,Life Sciences,no_ta,13
2022,0163-3864,323,34,Physical Sciences,ta_oa,13
2022,0163-3864,323,34,Physical Sciences,no_ta,21
2022,0163-3864,323,34,Health Sciences,ta_oa,13
2022,0163-3864,323,34,Health Sciences,no_ta,21
2022,0163-3864,323,34,Life Sciences,ta_oa,13
2022,0163-3864,323,34,Life Sciences,no_ta,21
2020,0276-7333,547,5,Physical Sciences,ta_oa,3
2020,0276-7333,547,5,Physical Sciences,no_ta,2
2021,0276-7333,499,54,Physical Sciences,ta_oa,39
