cr_year,cat,all,oa,oa_type,value,yearly_volume
2018,BRICS,356632,5614,ta_oa,44,1566211
2018,BRICS,356632,5614,oa_other,5570,1566211
2018,BRICS,356632,5614,closed,351018,1566211
2018,OECD,858332,52154,ta_oa,2859,1566211
2018,OECD,858332,52154,oa_other,49295,1566211
2018,OECD,858332,52154,closed,806178,1566211
2018,Other,351247,9875,ta_oa,65,1566211
2018,Other,351247,9875,oa_other,9810,1566211
2018,Other,351247,9875,closed,341372,1566211
2019,BRICS,399540,7756,ta_oa,274,1604204
2019,BRICS,399540,7756,oa_other,7482,1604204
2019,BRICS,399540,7756,closed,391784,1604204
2019,OECD,850616,67900,ta_oa,14456,1604204
2019,OECD,850616,67900,oa_other,53444,1604204
2019,OECD,850616,67900,closed,782716,1604204
2019,Other,354048,13030,ta_oa,2724,1604204
2019,Other,354048,13030,oa_other,10306,1604204
2019,Other,354048,13030,closed,341018,1604204
2020,BRICS,449189,10958,ta_oa,805,1714750
2020,BRICS,449189,10958,oa_other,10153,1714750
2020,BRICS,449189,10958,closed,438231,1714750
2020,OECD,892197,113487,ta_oa,53618,1714750
2020,OECD,892197,113487,oa_other,59869,1714750
2020,OECD,892197,113487,closed,778710,1714750
2020,Other,373364,19881,ta_oa,5592,1714750
2020,Other,373364,19881,oa_other,14289,1714750
2020,Other,373364,19881,closed,353483,1714750
2021,BRICS,491082,14599,ta_oa,1473,1749053
2021,BRICS,491082,14599,oa_other,13126,1749053
2021,BRICS,491082,14599,closed,476483,1749053
2021,OECD,870804,165722,ta_oa,101964,1749053
2021,OECD,870804,165722,oa_other,63758,1749053
2021,OECD,870804,165722,closed,705082,1749053
2021,Other,387167,26899,ta_oa,7180,1749053
2021,Other,387167,26899,oa_other,19719,1749053
2021,Other,387167,26899,closed,360268,1749053
2022,BRICS,535828,19729,ta_oa,2616,1712434
2022,BRICS,535828,19729,oa_other,17113,1712434
2022,BRICS,535828,19729,closed,516099,1712434
2022,OECD,786903,202787,ta_oa,137815,1712434
2022,OECD,786903,202787,oa_other,64972,1712434
2022,OECD,786903,202787,closed,584116,1712434
2022,Other,389703,33739,ta_oa,7683,1712434
2022,Other,389703,33739,oa_other,26056,1712434
2022,Other,389703,33739,closed,355964,1712434
