cr_year,country_code,all,oa,ta_oa,country_name,cat
2022,AT,8030,4860,4252,Austria,OECD
2022,AU,39560,10864,8320,Australia,OECD
2022,BE,10339,1534,13,Belgium,OECD
2022,BR,28597,942,0,Brazil,BRICS
2022,CA,39415,6190,2332,Canada,OECD
2022,CH,13190,7535,6057,Switzerland,OECD
2022,CN,391530,14790,132,China,BRICS
2022,CZ,5681,845,46,Czechia,OECD
2022,DE,60900,28510,21391,Germany,OECD
2022,DK,9316,3919,2947,Denmark,OECD
2022,EG,10122,1830,3,Egypt,Other
2022,ES,31748,12753,10842,Spain,OECD
2022,FI,7093,5273,4817,Finland,OECD
2022,FR,35789,5020,2075,France,OECD
2022,GB,72916,35654,32618,United Kingdom,OECD
2022,GR,5875,769,485,Greece,OECD
2022,IE,5686,2690,2455,Ireland,OECD
2022,IL,8883,1607,829,Israel,OECD
2022,IN,87428,1542,0,India,BRICS
2022,IR,30808,626,0,Iran,Other
2022,IT,39350,10835,7383,Italy,OECD
2022,JP,43952,6458,173,Japan,OECD
2022,KR,29418,2363,410,South Korea,OECD
2022,MX,7842,499,0,Mexico,OECD
2022,MY,6995,321,0,Malaysia,Other
2022,NL,21689,14612,13246,Netherlands,OECD
2022,NO,8812,5231,4360,Norway,OECD
2022,NZ,5575,1600,1157,New Zealand,OECD
2022,PK,8599,254,0,Pakistan,Other
2022,PL,10584,4033,2382,Poland,OECD
2022,PT,8052,2061,707,Portugal,OECD
2022,RU,21428,1110,0,Russia,BRICS
2022,SA,7322,552,90,Saudi Arabia,Other
2022,SE,12764,9936,8727,Sweden,OECD
2022,SG,7259,697,1,Singapore,Other
2022,TH,5372,342,0,Thailand,Other
2022,TR,24314,708,208,Turkey,OECD
2022,TW,12210,799,0,Taiwan,Other
2022,US,268965,31643,5306,United States,OECD
2022,ZA,7240,1355,656,South Africa,BRICS
