n_articles,cr_year,src,oa_status
1838261,2021,NA,gold
1828900,2022,NA,gold
1699331,2020,NA,gold
1434589,2019,NA,gold
1232886,2022,hoad,closed
1203878,2021,hoad,closed
1177687,2020,hoad,closed
1167742,2018,NA,gold
1140278,2019,hoad,closed
1105364,2018,hoad,closed
635766,2022,NA,closed
602994,2021,NA,closed
573588,2020,NA,closed
560931,2019,NA,closed
544302,2018,NA,closed
337122,2022,NA,bronze
335343,2022,NA,hybrid
291009,2021,NA,bronze
265251,2022,hoad,hybrid
258525,2020,NA,bronze
246912,2018,NA,bronze
246249,2021,NA,hybrid
239668,2021,hoad,hybrid
233356,2019,NA,bronze
230439,2020,hoad,green
227458,2021,hoad,green
227382,2019,hoad,green
221397,2018,hoad,green
218350,2018,hoad,bronze
204882,2020,hoad,bronze
197808,2020,hoad,hybrid
193247,2019,hoad,bronze
186825,2021,hoad,bronze
181357,2022,hoad,green
171579,2020,NA,hybrid
152626,2019,hoad,hybrid
147739,2018,NA,hybrid
144366,2022,hoad,bronze
134103,2019,NA,hybrid
129077,2018,hoad,hybrid
82949,2021,NA,green
80026,2022,NA,green
70222,2020,NA,green
67259,2018,NA,green
59234,2019,NA,green
10660,2020,hoad,gold
9561,2021,hoad,gold
7105,2019,hoad,gold
6643,2022,hoad,gold
5737,2018,hoad,gold
