issn_l,sourcerecord_id,source_title_medline_sourced_journals_are_indicated_in_green,ajcs,top_level_code,subject_area,top_level
0001-4966,12936,Journal of the Acoustical Society of America,3102,31,Physics and Astronomy,Physical Sciences
0001-4966,12936,Journal of the Acoustical Society of America,1201,12,Arts and Humanities,Social Sciences
0002-9505,26997,American Journal of Physics,3100,31,Physics and Astronomy,Physical Sciences
0021-8979,28132,Journal of Applied Physics,3100,31,Physics and Astronomy,Physical Sciences
0022-2488,28544,Journal of Mathematical Physics,2610,26,Mathematics,Physical Sciences
0022-2488,28544,Journal of Mathematical Physics,3109,31,Physics and Astronomy,Physical Sciences
0031-921X,21100490427,Physics Teacher,3100,31,Physics and Astronomy,Physical Sciences
0031-921X,21100490427,Physics Teacher,3304,33,Social Sciences,Social Sciences
0034-6748,15563,Review of Scientific Instruments,3105,31,Physics and Astronomy,Physical Sciences
0047-2689,24644,Journal of Physical and Chemical Reference Data,1606,16,Chemistry,Physical Sciences
0047-2689,24644,Journal of Physical and Chemical Reference Data,3100,31,Physics and Astronomy,Physical Sciences
0047-2689,24644,Journal of Physical and Chemical Reference Data,1600,16,Chemistry,Physical Sciences
0148-6055,14423,Journal of Rheology,2210,22,Engineering,Physical Sciences
0148-6055,14423,Journal of Rheology,2211,22,Engineering,Physical Sciences
0148-6055,14423,Journal of Rheology,3104,31,Physics and Astronomy,Physical Sciences
0148-6055,14423,Journal of Rheology,2500,25,Materials Science,Physical Sciences
0734-2101,28596,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",2508,25,Materials Science,Physical Sciences
0734-2101,28596,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",3110,31,Physics and Astronomy,Physical Sciences
0734-2101,28596,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",3104,31,Physics and Astronomy,Physical Sciences
1042-346X,12160,Journal of Laser Applications,3105,31,Physics and Astronomy,Physical Sciences
1042-346X,12160,Journal of Laser Applications,2204,22,Engineering,Physical Sciences
1042-346X,12160,Journal of Laser Applications,3107,31,Physics and Astronomy,Physical Sciences
1042-346X,12160,Journal of Laser Applications,2504,25,Materials Science,Physical Sciences
1054-1500,27430,Chaos,2604,26,Mathematics,Physical Sciences
1054-1500,27430,Chaos,3100,31,Physics and Astronomy,Physical Sciences
1054-1500,27430,Chaos,2610,26,Mathematics,Physical Sciences
1054-1500,27430,Chaos,3109,31,Physics and Astronomy,Physical Sciences
1055-5269,9500154151,Surface Science Spectra,2508,25,Materials Science,Physical Sciences
1055-5269,9500154151,Surface Science Spectra,3110,31,Physics and Astronomy,Physical Sciences
1055-5269,9500154151,Surface Science Spectra,3104,31,Physics and Astronomy,Physical Sciences
1063-777X,13789,Low Temperature Physics,3100,31,Physics and Astronomy,Physical Sciences
1063-777X,13789,Low Temperature Physics,3101,31,Physics and Astronomy,Physical Sciences
1070-6631,29210,Physics of Fluids,3104,31,Physics and Astronomy,Physical Sciences
1070-6631,29210,Physics of Fluids,1507,15,Chemical Engineering,Physical Sciences
1070-6631,29210,Physics of Fluids,2211,22,Engineering,Physical Sciences
1070-6631,29210,Physics of Fluids,2206,22,Engineering,Physical Sciences
1070-6631,29210,Physics of Fluids,2210,22,Engineering,Physical Sciences
1070-664X,29221,Physics of Plasmas,3104,31,Physics and Astronomy,Physical Sciences
1559-4106,19200156922,Biointerphases,3100,31,Physics and Astronomy,Physical Sciences
1559-4106,19200156922,Biointerphases,1300,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1559-4106,19200156922,Biointerphases,2500,25,Materials Science,Physical Sciences
1559-4106,19200156922,Biointerphases,2502,25,Materials Science,Physical Sciences
1559-4106,19200156922,Biointerphases,1600,16,Chemistry,Physical Sciences
1674-0068,27999,Chinese Journal of Chemical Physics,1606,16,Chemistry,Physical Sciences
1931-9401,21100327726,Applied Physics Reviews,3100,31,Physics and Astronomy,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,3104,31,Physics and Astronomy,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,2500,25,Materials Science,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,1507,15,Chemical Engineering,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,1505,15,Chemical Engineering,Physical Sciences
1932-1058,13600154724,Biomicrofluidics,2204,22,Engineering,Physical Sciences
1941-7012,19700194012,Journal of Renewable and Sustainable Energy,2105,21,Energy,Physical Sciences
