issn_l,cr_year,articles,cc_articles
0960-4286,2018,31,31
1213-8770,2018,26,26
1357-3217,2018,29,29
1441-2772,2018,49,49
1647-712X,2018,15,15
1875-855X,2018,37,37
2059-7754,2018,56,56
2182-942X,2018,7,7
2278-9626,2018,14,14
2346-5492,2018,10,10
2348-1153,2018,46,46
2359-8093,2018,35,35
2472-5552,2018,104,104
2472-6303,2018,70,70
2543-6821,2018,19,19
2582-4287,2018,37,37
2631-987X,2018,10,10
0353-8648,2019,29,29
0960-4286,2019,36,35
1213-8770,2019,27,27
1441-2772,2019,50,50
1843-6188,2019,23,23
1875-855X,2019,35,35
2059-7754,2019,44,44
2182-4916,2019,13,13
2220-4334,2019,407,407
2278-9626,2019,15,15
2348-1153,2019,36,36
2359-8093,2019,39,39
2472-5552,2019,86,86
2472-6303,2019,66,66
2474-5871,2019,16,16
2543-6821,2019,21,21
2566-9346,2019,10,10
0353-8648,2020,32,32
0810-9028,2020,52,52
1019-8288,2020,22,22
1213-8770,2020,30,30
1357-3217,2020,24,24
1441-2772,2020,69,69
1606-822X,2020,22,22
1855-4202,2020,16,16
1875-855X,2020,36,36
2059-7754,2020,51,51
2348-1153,2020,53,53
2359-8093,2020,46,46
2472-5552,2020,112,112
2472-6303,2020,67,67
2543-6821,2020,20,20
2566-9346,2020,22,22
2576-3342,2020,38,38
2581-5784,2020,18,18
2582-4287,2020,40,40
0324-8569,2021,34,34
0353-8648,2021,30,30
1011-2855,2021,26,26
1019-8288,2021,26,26
1213-8770,2021,21,21
1441-2772,2021,64,64
1584-5990,2021,22,22
1843-6188,2021,24,24
1855-4202,2021,20,20
2059-7754,2021,60,60
2182-4916,2021,24,24
2182-942X,2021,7,7
2213-6320,2021,14,14
2278-9626,2021,32,32
2348-1153,2021,50,50
2359-8093,2021,54,54
2472-5552,2021,124,124
2472-6303,2021,68,68
2474-5871,2021,60,60
2543-6821,2021,25,25
2576-3342,2021,18,18
2581-5784,2021,14,14
2582-4287,2021,87,87
2631-987X,2021,15,15
2657-3601,2021,6,6
2667-257X,2021,44,44
2732-527X,2021,348,346
2747-5085,2021,43,43
2747-5271,2021,6,6
2747-7487,2021,9,9
2749-4799,2021,8,8
2752-3810,2021,9,9
2772-3909,2021,14,14
0257-3784,2022,9,9
0324-8569,2022,22,22
0353-8648,2022,30,30
0810-9028,2022,50,50
1011-2855,2022,40,40
1019-8288,2022,13,13
1213-8770,2022,25,25
1218-4586,2022,34,34
1223-8139,2022,18,18
1357-3217,2022,24,24
1606-822X,2022,94,94
1843-6188,2022,24,24
1875-855X,2022,35,35
2059-7754,2022,51,51
2096-918X,2022,26,26
2278-9626,2022,28,28
2346-5492,2022,20,20
2348-1153,2022,22,22
2359-8093,2022,41,41
2472-5552,2022,56,56
2472-6303,2022,52,52
2474-5871,2022,36,36
2543-6821,2022,20,20
2569-1783,2022,7,7
2581-5784,2022,16,16
2582-4287,2022,101,101
2633-9137,2022,20,20
2667-257X,2022,105,105
2667-3207,2022,11,11
2718-4978,2022,14,14
2731-3263,2022,28,28
2731-4235,2022,73,73
2731-4790,2022,12,12
2731-6068,2022,16,16
